time;model_id;model_name;port_name;data
0;1;980528;;2521881, 0, 0, 0, 0.00
0;2;980527;;2521880, 0, 0, 0, 0.00
0;3;980148;;2520884, 0, 0, 0, 0.00
0;4;980147;;2520883, 0, 0, 0, 0.00
0;5;980146;;2520882, 0, 0, 0, 0.00
0;6;979767;;2519885, 0, 0, 0, 0.00
0;7;979762;;2519880, 0, 0, 0, 0.00
0;8;979761;;2519879, 0, 0, 0, 0.00
0;9;979387;;2518887, 0, 0, 0, 0.00
0;10;979384;;2518884, 0, 0, 0, 0.00
0;11;979005;;2517887, 0, 0, 0, 0.00
0;12;979002;;2517884, 0, 0, 0, 0.00
0;13;979766;;2519884, 0, 0, 0, 0.00
0;14;979001;;2517883, 0, 0, 0, 0.00
0;15;978999;;2517881, 0, 0, 0, 0.00
0;16;978996;;2517878, 0, 0, 0, 0.00
0;17;978625;;2516888, 0, 0, 0, 0.00
0;18;978623;;2516886, 0, 0, 0, 0.00
0;19;978621;;2516884, 0, 0, 0, 0.00
0;20;978620;;2516883, 0, 0, 0, 0.00
0;21;978619;;2516882, 0, 0, 0, 0.00
0;22;978616;;2516879, 0, 0, 0, 0.00
0;23;978615;;2516878, 0, 0, 0, 0.00
0;24;978610;;2516873, 0, 0, 0, 0.00
0;25;978609;;2516872, 0, 0, 0, 0.00
0;26;978608;;2516871, 0, 0, 0, 0.00
0;27;978241;;2515885, 0, 0, 0, 0.00
0;28;978239;;2515883, 0, 0, 0, 0.00
0;29;978238;;2515882, 0, 0, 0, 0.00
0;30;978237;;2515881, 0, 0, 0, 0.00
0;31;978235;;2515879, 0, 0, 0, 0.00
0;32;978234;;2515878, 0, 0, 0, 0.00
0;33;978232;;2515876, 0, 0, 0, 0.00
0;34;979385;;2518885, 0, 0, 0, 0.00
0;35;978231;;2515875, 0, 0, 0, 0.00
0;36;978230;;2515874, 0, 0, 0, 0.00
0;37;978229;;2515873, 0, 0, 0, 0.00
0;38;978228;;2515872, 0, 0, 0, 0.00
0;39;978225;;2515869, 0, 0, 0, 0.00
0;40;978223;;2515867, 0, 0, 0, 0.00
0;41;978222;;2515866, 0, 0, 0, 0.00
0;42;977863;;2514888, 0, 0, 0, 0.00
0;43;977862;;2514887, 0, 0, 0, 0.00
0;44;977861;;2514886, 0, 0, 0, 0.00
0;45;977860;;2514885, 0, 0, 0, 0.00
0;46;977857;;2514882, 0, 0, 0, 0.00
0;47;977853;;2514878, 0, 0, 0, 0.00
0;48;977852;;2514877, 0, 0, 0, 0.00
0;49;977851;;2514876, 0, 0, 0, 0.00
0;50;978987;;2517869, 0, 0, 0, 0.00
